name_wiki,genre_wiki,release_wiki,url_wiki
I Can't Breathe (Jerome Farah song),,26 June 2020,https://en.wikipedia.org/wiki/I_Can%27t_Breathe_(Jerome_Farah_song)
I Have a Dream (song),,7 December 1979 (1979-12-07) / 6 December 1999 (1999-12-06),https://en.wikipedia.org/wiki/I_Have_a_Dream_(song)
I Just Wanna Live,,"November 15, 2004",https://en.wikipedia.org/wiki/I_Just_Wanna_Live
I Protest,,September 2010 (2010-09),https://en.wikipedia.org/wiki/I_Protest
I Shot the Sheriff,,"12 February 1973[1] / 1974 / February 3, 1997[31]",https://en.wikipedia.org/wiki/I_Shot_the_Sheriff
I Should Be Proud,,February 1970 (February 1970),https://en.wikipedia.org/wiki/I_Should_Be_Proud
I Want It All (Queen song),,2 May 1989 (1989-05-02) (UK) / 10 May 1989 (US),https://en.wikipedia.org/wiki/I_Want_It_All_(Queen_song)
I Was Only 19,,March 1983,https://en.wikipedia.org/wiki/I_Was_Only_19
I'd Love to Change the World,,1971,https://en.wikipedia.org/wiki/I%27d_Love_to_Change_the_World
"I'm Asking You Sergeant, Where's Mine",,,"https://en.wikipedia.org/wiki/I%27m_Asking_You_Sergeant,_Where%27s_Mine"
I'm So Bored with the USA,,8 April 1977 (1977-04-08) (UK)July 1979 (US),https://en.wikipedia.org/wiki/I%27m_So_Bored_with_the_USA
I've Never Met a Nice South African,,April 1986 (1986-04),https://en.wikipedia.org/wiki/I%27ve_Never_Met_a_Nice_South_African
Ich will,,10 September 2001,https://en.wikipedia.org/wiki/Ich_will
Icky Thump (song),,"April 26, 2007 (2007-04-26)",https://en.wikipedia.org/wiki/Icky_Thump_(song)
If 6 Was 9,,"December 1, 1967 (1967-12-01) (UK) / January 15, 1968 (US)",https://en.wikipedia.org/wiki/If_6_Was_9
If I Can Dream,,"November 5, 1968 / November 22, 1968",https://en.wikipedia.org/wiki/If_I_Can_Dream
If I Had a Hammer,,1950 / 1962 / 1963,https://en.wikipedia.org/wiki/If_I_Had_a_Hammer
If I Had a Rocket Launcher,,1984,https://en.wikipedia.org/wiki/If_I_Had_a_Rocket_Launcher
If It Happens Again,,1984,https://en.wikipedia.org/wiki/If_It_Happens_Again
If That Were Me,,27 November 2000 (2000-11-27),https://en.wikipedia.org/wiki/If_That_Were_Me
Ignoreland,,"October 5, 1992 (1992-10-05)",https://en.wikipedia.org/wiki/Ignoreland
Immigration Man,,March 1972,https://en.wikipedia.org/wiki/Immigration_Man
Impeach the President,,1973,https://en.wikipedia.org/wiki/Impeach_the_President
In a World Gone Mad,,"March, 2003",https://en.wikipedia.org/wiki/In_a_World_Gone_Mad
In the Crossfire,,3 October 2005,https://en.wikipedia.org/wiki/In_the_Crossfire
In the Ghetto,,"April 14, 1969 / June 18, 1984",https://en.wikipedia.org/wiki/In_the_Ghetto
Inner City Blues (Make Me Wanna Holler),,"September 16, 1971",https://en.wikipedia.org/wiki/Inner_City_Blues_(Make_Me_Wanna_Holler)
The Internationale,,,https://en.wikipedia.org/wiki/The_Internationale
Into the New World (song),,"August 3, 2007",https://en.wikipedia.org/wiki/Into_the_New_World_(song)
Is It Any Wonder?,,29 May 2006,https://en.wikipedia.org/wiki/Is_It_Any_Wonder%3F
Is This the World We Created...?,,16 July 1984,https://en.wikipedia.org/wiki/Is_This_the_World_We_Created...%3F
It's Good News Week,,1965,https://en.wikipedia.org/wiki/It%27s_Good_News_Week
J'attends un navire,,,https://en.wikipedia.org/wiki/J%27attends_un_navire
Jesus He Knows Me,,13 July 1992,https://en.wikipedia.org/wiki/Jesus_He_Knows_Me
