,chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,chroma_cqt,chroma_cens,melspectrogram,mfcc,rms,spectral_contrast,poly_features,tonnetz,tempogram,music
62,0.3679885,1812.13085489486,2118.468520866929,3068.264779955979,0.05522041272649411,0.3671748,0.2191318976541188,1.6598846,-8.349228,0.08699542,22.69061759143544,0.9264043596018056,-0.00042705302783628313,0.2794734336231789,69-Commander in Chief.wav
63,0.5394945,2841.037558145861,2751.979446302403,5611.641067174197,0.08372420898183837,0.6912151,0.28125908204694844,0.92554003,-1.8665859,0.06964215,19.436952508425016,1.0440850099618713,0.0013170445198472653,0.2574876545034679,"330-Ronnie, Talk to Russia.wav"
64,0.6128308000000001,3794.706211079175,3592.094193209297,7927.518730045473,0.10280556959625954,0.55454147,0.26362802541326474,17.110986999999998,8.05665,0.31990847,16.560393504360704,5.048656666617705,0.016613441191181782,0.2879903028999581,54-Bulls on Parade.wav
65,0.3287137,2413.175385414137,2512.0617185343717,4291.565716155911,0.07183042515251714,0.42337579999999997,0.2396811013819391,2.8238177,-7.145662,0.106645636,21.521440224291453,1.1600476382925085,0.02758561209636242,0.2514415844327917,368-Talkin' John Birch Paranoid Blues.wav
66,0.47045353,2010.752662560424,2592.1701767063555,4131.50835066757,0.042796960889619005,0.47768167,0.24718104004957756,1.1630530000000001,-1.8524968999999998,0.0752142,21.315125218630577,0.8054009509641702,0.015950151287476934,0.2231888465320926,72-Cutty Wren.wav
67,0.41933516,2563.242702279031,3131.6352445614916,5457.741997780815,0.05492172307519499,0.4123164000000001,0.24049442524610515,11.009217,4.799583999999999,0.2298618,21.83105572746277,2.4649676314175,0.034516811827399914,0.2595592367202814,334-Same Love.wav
68,0.42191267,2486.9635885465505,2770.8343449561876,5445.65040423036,0.05946313613164564,0.44947209999999993,0.24649754203135366,1.053043,-4.849672,0.06378025,20.587109239609443,0.7559335869820893,0.027253186775893543,0.2334418538710512,254-Mississippi Goddam.wav
69,0.54535645,2643.6305128575978,3197.905332157492,5675.1073500689345,0.0543032739411554,0.6097093000000001,0.2733004732521885,22.146854,7.1134343,0.31442767,19.076511951742674,3.3721046370058465,0.002406938635559032,0.18440268363523446,416-(We Don't Need This) Fascist Groove Thang.wav
70,0.5550864999999999,3133.810885088489,3142.768422934614,6236.878953112907,0.08094561508814052,0.45554880000000003,0.2553801897853309,6.3495684,5.5753603,0.18942481,19.555007421772498,2.7753149674419157,0.0007698666406241324,0.2953714604346869,53-Bullet the Blue Sky.wav
71,0.45515138,2543.096250590503,2937.2287969646013,5259.2348647929575,0.063296862604691,0.34615314,0.22582793790592495,3.9810042,3.4217197999999995,0.14784326,20.829179717612195,1.890046508080312,0.053965892227911684,0.20436703554153085,257-Mother.wav
72,0.38697016,2615.57191878273,2849.087520056385,5052.361115730215,0.0707891928701305,0.57472587,0.2730736787147479,13.896626000000001,5.07988,0.29157698,19.55806961411527,4.369775026874483,0.019911119980764308,0.2944254333016119,16-Anarchy in the U.K..wav
73,0.47495857,2482.6677834295747,2961.4373801273928,5415.767251596362,0.05351939021222524,0.47092193,0.2471168604115541,10.859588,3.7278101,0.23530829,19.832101863780792,3.1917045167033704,-0.010897155753867406,0.260915837443195,336-Say No Go.wav
74,0.44491965,1798.9851331588598,2691.792563958586,3584.4033256034727,0.030109552592967014,0.3732167,0.21383135443597384,2.4645805,1.7595693,0.10773119,21.45913603114106,1.016113800030912,0.018477838914002797,0.20481078247521334,435-Whirlwinds of Danger.wav
75,0.49485055,2865.158691742386,3294.7640818121085,6230.912322525638,0.06534595417114214,0.4102792,0.2305287422412793,3.9562873999999995,2.1802787999999995,0.14351025,19.202271377339667,1.9797862757041305,-0.026975077626487345,0.2983251972329921,316-Reality Asylum.wav
76,0.46700367,2783.436206758177,2939.921274582135,5803.889904671779,0.0745295574370099,0.45233718,0.2480653251368316,3.2384706000000003,0.058380975999999994,0.13485743,20.72750575916934,2.0260861650402395,0.018171822994528655,0.27401782268522457,228-Light One Candle.wav
77,0.45724645,3002.343574845629,3129.38489368076,5721.140405046682,0.07613771824519283,0.5120587000000001,0.2574973186420721,2.1728240000000003,-7.2787375,0.09622972,20.083488565976968,0.9603052396302972,0.0009746421926062293,0.12200863008385535,275-Ohio.wav
78,0.40645346,1676.8604284937117,2127.4936207878554,3512.637092897397,0.043736205008319116,0.44370240000000005,0.2308402598264039,3.8200483,2.2038312,0.13862501,21.538440667086462,1.6271347880522689,0.058079207358603765,0.2848429001456632,8-Airplanes.wav
79,0.43281099999999995,2093.7845914581044,2886.808287329378,4502.231108957769,0.037723247193614286,0.41391283,0.23456397488450326,7.5589914,-0.95941657,0.18243912,22.380058992445253,1.865874424929912,-0.0003760566222825306,0.1710503034170136,182-I Want It All.wav
80,0.40558505,2597.696879086014,2783.422247669335,5393.000722595782,0.065828076844773,0.40673327,0.2276051819941328,0.77300817,-6.578200999999999,0.06363904,22.22521030068449,0.8049967355774167,0.014568758577254147,0.2476744181994257,75-Dear Mr. President.wav
81,0.4024953,3224.2031775415253,3210.119530804965,6650.134787544746,0.08279448621553884,0.34438545,0.20936743944295172,6.0985947,-0.295007,0.18045273,22.51111582371933,2.3794191603893995,0.06573948494126981,0.2311097512522221,399-Universal Soldier.wav
82,0.49170756,2436.32947004686,2755.587677890514,4791.3876938007925,0.05770721446473327,0.52883804,0.26453701007281244,24.798765,7.340053999999999,0.36651054,18.411038566361427,5.204087617528847,0.030922900994527405,0.25692124102232045,55-Burning in the Skies.wav
83,0.45871624,2770.5481857056598,2849.965128572433,5491.025129855601,0.07940612209796201,0.55626553,0.26713479543954743,9.45448,3.4210684000000002,0.23593418,20.983496811108374,3.4507923162119,-0.003549511399061619,0.27431197937283186,71-Crazy Train.wav
84,0.34947708,1670.640059111544,2255.715688028025,3308.054996644011,0.02954496710965088,0.4004587,0.2292050256563723,5.332349,-2.871986,0.13886422,22.74667111858883,1.0622385629259872,-0.012455466338665734,0.1541970265114906,111-Faint.wav
85,0.48118976,1374.7483392360834,1805.9102284641901,2735.8501233552633,0.03032313802714068,0.44641212,0.2409358818551198,7.8674946,2.4669392000000006,0.19083367,21.275347754792364,1.853123192775065,0.030887823900497137,0.21557006022676087,124-For What It's Worth.wav
86,0.6468519,3225.190619807023,2779.7229616387876,5976.155529671779,0.10287454455466397,0.64267516,0.2765778931389684,5.1069407,3.2403402000000003,0.15672372,18.8897478115744,2.366299784169553,-0.003946392506855152,0.2199288059954565,68-Come Out and Play.wav
87,0.38634822,2478.3440108568248,3187.0738186972053,5519.808289141109,0.050761497581488735,0.48186073,0.2518210833506894,5.690512,-0.24714099,0.15954846,20.66389030517421,1.7168041116575,0.0165039027922617,0.2085384434701375,215-Włodzimierz Korcz.wav
88,0.44818884,3717.949592729109,3711.4453922523053,8070.684531008127,0.09439510014532128,0.4637147,0.2508749363138612,2.8852825,0.14102079,0.12583776,21.4094629492464,1.7722816553638139,8.561592489335353e-06,0.22802630477934666,237-Love of the Common People.wav
89,0.43229437,2550.804714533164,2616.1717264359377,5052.619447501451,0.07237896035607226,0.52522165,0.264820543058156,4.960454,1.0896133,0.16838166,20.155879297295822,2.5837677842204463,-0.006269113514552626,0.30042135856896995,144-Give Peace a Chance.wav
90,0.48708832,2527.745738314049,2729.8634420048793,5075.910973327448,0.06532641126626089,0.46454594,0.2604277490635821,7.9085546,4.2408133,0.21008849,19.447021874111694,3.156088248853036,-0.002855978016935975,0.2178694196556432,244-Man in the Mirror.wav
91,0.3689285,1070.4363636530882,1623.898456935827,1761.3393494219233,0.027215824926461813,0.37694553,0.22210977369604276,1.1262823,-4.6274557000000005,0.07299584,23.02033187037485,0.6668928846664087,-0.02700054134903434,0.18215655241285264,393-Trouble Every Day.wav
92,0.45600563,3431.7231648927277,3400.770937283075,7216.014699079673,0.09423536081099107,0.57272774,0.2682583355483599,6.301154599999999,0.54990333,0.18329217,20.743778562877203,2.479055018943348,-0.0016699784359253,0.2288949560210996,452-You're the Man.wav
93,0.35145864,1748.098711291039,2043.4364192025414,3147.4143013496523,0.04516854110065079,0.37867483,0.21889623871155756,0.040671386000000004,-19.342010000000002,0.011032911999999999,21.195673646047595,0.0939974053424755,0.008000678196025506,0.217988042559814,219-La marseillaise de la Commune.wav
94,0.32650727,1459.1058728409478,1192.0739323394318,2550.542910549293,0.047955805129069176,0.42403567,0.2406370414309592,2.157494,-9.638389,0.107072674,20.455054253586425,1.2094179310353266,-0.006565960214914974,0.17205566345444,134-Der Fuehrer's Face.wav
95,0.46474594,3054.884722875189,2849.5669012613307,5774.831747049148,0.09148967481729534,0.55780375,0.2710295595191014,6.0894017,2.0368085,0.1915907,21.013274839523426,2.9634550432475812,0.0009908050370993514,0.2565942318722039,420-We're Not Gonna Take It.wav
